STATION,NAME,DATE,PRCP,TMAX,TMIN,PRCP
USW001,Sitka,2021-04-01,52,63,40,0.0
USW001,Sitka,2021-04-02,50,58,41,0.13
USW001,Sitka,2021-04-03,46,58,34,0.08
USW001,Sitka,2021-04-04,47,53,41,0.0
USW001,Sitka,2021-04-05,48,56,40,1.39
USW001,Sitka,2021-04-06,41,48,34,1.23
USW001,Sitka,2021-04-07,52,61,43,0.04
USW001,Sitka,2021-04-08,44,51,38,0.33
USW001,Sitka,2021-04-09,44,53,36,0.1
USW001,Sitka,2021-04-10,46,57,36,0.0
USW001,Sitka,2021-04-11,43,51,35,0.0
USW001,Sitka,2021-04-12,44,55,33,0.38
USW001,Sitka,2021-04-13,46,55,38,0.0
USW001,Sitka,2021-04-14,45,56,34,0.18
USW001,Sitka,2021-04-15,46,54,37,0.19
USW001,Sitka,2021-04-16,48,63,34,0.0
USW001,Sitka,2021-04-17,44,54,34,0.0
USW001,Sitka,2021-04-18,48,56,39,0.37
USW001,Sitka,2021-04-19,45,53,37,0.22
USW001,Sitka,2021-04-20,48,63,33,0.03
USW001,Sitka,2021-04-21,44,51,36,0.6
USW001,Sitka,2021-04-22,44,57,32,0.08
USW001,Sitka,2021-04-23,48,60,36,0.66
USW001,Sitka,2021-04-24,49,61,37,0.08
USW001,Sitka,2021-04-25,44,55,33,0.37
USW001,Sitka,2021-04-26,50,64,36,0.0
USW001,Sitka,2021-04-27,49,60,38,1.11
USW001,Sitka,2021-04-28,46,56,36,0.66
USW001,Sitka,2021-04-29,44,50,37,1.54
USW001,Sitka,2021-04-30,40,49,32,0.0
USW001,Sitka,2021-05-01,46,53,39,0.57
USW001,Sitka,2021-05-02,45,50,40,0.0
USW001,Sitka,2021-05-03,48,55,42,0.32
USW001,Sitka,2021-05-04,48,58,38,0.1
USW001,Sitka,2021-05-05,52,61,43,0.12
USW001,Sitka,2021-05-06,49,56,42,0.38
USW001,Sitka,2021-05-07,50,58,41,0.25
USW001,Sitka,2021-05-08,50,56,43,0.75
USW001,Sitka,2021-05-09,46,53,40,0.0
USW001,Sitka,2021-05-10,48,58,39,0.14
USW001,Sitka,2021-05-11,47,58,36,0.0
USW001,Sitka,2021-05-12,48,52,44,0.3
USW001,Sitka,2021-05-13,52,59,44,0.01
USW001,Sitka,2021-05-14,50,55,46,0.06
USW001,Sitka,2021-05-15,49,56,42,0.01
USW001,Sitka,2021-05-16,49,54,44,0.33
USW001,Sitka,2021-05-17,53,61,45,0.15
USW001,Sitka,2021-05-18,52,59,45,0.0
USW001,Sitka,2021-05-19,49,53,45,0.0
USW001,Sitka,2021-05-20,50,58,43,0.25
USW001,Sitka,2021-05-21,52,62,42,0.0
USW001,Sitka,2021-05-22,48,59,38,0.0
USW001,Sitka,2021-05-23,51,61,41,0.05
USW001,Sitka,2021-05-24,54,62,45,0.08
USW001,Sitka,2021-05-25,46,56,37,0.3
USW001,Sitka,2021-05-26,50,58,41,0.0
USW001,Sitka,2021-05-27,51,60,42,0.12
USW001,Sitka,2021-05-28,44,54,35,0.4
USW001,Sitka,2021-05-29,54,63,44,0.03
USW001,Sitka,2021-05-30,48,59,36,0.04
USW001,Sitka,2021-05-31,53,65,41,0.18
USW001,Sitka,2021-06-01,56,61,50,0.53
USW001,Sitka,2021-06-02,56,65,46,0.0
USW001,Sitka,2021-06-03,51,59,43,0.0
USW001,Sitka,2021-06-04,54,58,49,0.0
USW001,Sitka,2021-06-05,58,63,52,0.18
USW001,Sitka,2021-06-06,54,58,49,0.53
USW001,Sitka,2021-06-07,56,65,46,0.0
USW001,Sitka,2021-06-08,57,64,50,0.0
USW001,Sitka,2021-06-09,55,63,47,0.0
USW001,Sitka,2021-06-10,57,65,49,0.0
USW001,Sitka,2021-06-11,56,60,52,0.0
USW001,Sitka,2021-06-12,56,64,47,0.0
USW001,Sitka,2021-06-13,59,69,49,0.4
USW001,Sitka,2021-06-14,52,62,43,0.44
USW001,Sitka,2021-06-15,57,66,48,0.0
USW001,Sitka,2021-06-16,56,62,51,0.21
USW001,Sitka,2021-06-17,54,58,49,0.34
USW001,Sitka,2021-06-18,56,64,49,0.06
USW001,Sitka,2021-06-19,59,68,50,0.0
USW001,Sitka,2021-06-20,57,65,49,0.36
USW001,Sitka,2021-06-21,58,69,46,0.03
USW001,Sitka,2021-06-22,57,65,49,0.0
USW001,Sitka,2021-06-23,54,61,46,0.0
USW001,Sitka,2021-06-24,52,58,45,0.57
USW001,Sitka,2021-06-25,52,56,47,0.18
USW001,Sitka,2021-06-26,55,62,48,0.79
USW001,Sitka,2021-06-27,52,57,48,0.02
USW001,Sitka,2021-06-28,54,63,46,0.23
USW001,Sitka,2021-06-29,58,60,56,0.4
USW001,Sitka,2021-06-30,51,58,44,0.21
USW001,Sitka,2021-07-01,57,63,51,0.0
USW001,Sitka,2021-07-02,60,70,50,0.0
USW001,Sitka,2021-07-03,54,62,47,0.0
USW001,Sitka,2021-07-04,60,68,52,0.0
USW001,Sitka,2021-07-05,60,68,52,0.0
USW001,Sitka,2021-07-06,56,62,51,0.08
USW001,Sitka,2021-07-07,55,65,45,0.35
USW001,Sitka,2021-07-08,60,73,48,0.0
USW001,Sitka,2021-07-09,53,62,44,0.24
USW001,Sitka,2021-07-10,54,62,45,0.0
USW001,Sitka,2021-07-11,60,69,51,0.41
USW001,Sitka,2021-07-12,56,64,49,0.35
USW001,Sitka,2021-07-13,54,64,43,0.2
USW001,Sitka,2021-07-14,59,68,50,0.12
USW001,Sitka,2021-07-15,59,67,51,0.0
USW001,Sitka,2021-07-16,58,70,47,0.0
USW001,Sitka,2021-07-17,62,73,50,0.01
USW001,Sitka,2021-07-18,57,67,47,0.0
USW001,Sitka,2021-07-19,59,69,49,0.3
USW001,Sitka,2021-07-20,58,65,50,0.12
USW001,Sitka,2021-07-21,54,63,45,0.35
USW001,Sitka,2021-07-22,61,65,57,0.0
USW001,Sitka,2021-07-23,56,63,49,0.12
USW001,Sitka,2021-07-24,60,71,49,1.33
USW001,Sitka,2021-07-25,56,64,47,0.06
USW001,Sitka,2021-07-26,58,63,54,0.0
USW001,Sitka,2021-07-27,58,67,48,0.79
USW001,Sitka,2021-07-28,56,61,52,1.09
USW001,Sitka,2021-07-29,57,65,49,0.24
USW001,Sitka,2021-07-30,58,65,50,0.0
USW001,Sitka,2021-07-31,60,71,48,0.54
USW001,Sitka,2021-08-01,56,61,51,0.11
USW001,Sitka,2021-08-02,58,73,44,0.28
USW001,Sitka,2021-08-03,58,60,56,0.74
USW001,Sitka,2021-08-04,59,69,49,0.0
USW001,Sitka,2021-08-05,57,59,55,0.6
USW001,Sitka,2021-08-06,60,66,53,2.39
USW001,Sitka,2021-08-07,58,65,51,0.15
USW001,Sitka,2021-08-08,56,62,50,0.14
USW001,Sitka,2021-08-09,62,69,55,0.09
USW001,Sitka,2021-08-10,58,67,50,0.0
USW001,Sitka,2021-08-11,56,65,46,0.38
USW001,Sitka,2021-08-12,58,72,43,0.01
USW001,Sitka,2021-08-13,56,62,51,0.0
USW001,Sitka,2021-08-14,60,70,49,0.21
USW001,Sitka,2021-08-15,57,66,48,0.06
USW001,Sitka,2021-08-16,55,57,53,0.41
USW001,Sitka,2021-08-17,54,62,46,0.0
USW001,Sitka,2021-08-18,59,69,49,0.44
USW001,Sitka,2021-08-19,56,67,45,0.02
USW001,Sitka,2021-08-20,54,61,46,0.0
USW001,Sitka,2021-08-21,58,67,48,0.35
USW001,Sitka,2021-08-22,60,70,49,0.0
USW001,Sitka,2021-08-23,59,68,50,0.0
USW001,Sitka,2021-08-24,60,66,54,0.27
USW001,Sitka,2021-08-25,55,61,49,0.03
USW001,Sitka,2021-08-26,60,71,48,0.85
USW001,Sitka,2021-08-27,62,70,54,0.1
USW001,Sitka,2021-08-28,62,74,51,0.0
USW001,Sitka,2021-08-29,58,66,49,0.15
USW001,Sitka,2021-08-30,56,62,49,0.1
USW001,Sitka,2021-08-31,59,69,49,0.23
USW001,Sitka,2021-09-01,56,62,50,2.36
USW001,Sitka,2021-09-02,56,59,54,0.15
USW001,Sitka,2021-09-03,50,56,44,0.0
USW001,Sitka,2021-09-04,57,67,47,1.13
USW001,Sitka,2021-09-05,56,60,51,0.21
USW001,Sitka,2021-09-06,50,58,43,0.61
USW001,Sitka,2021-09-07,50,58,41,1.12
USW001,Sitka,2021-09-08,52,60,44,0.42
USW001,Sitka,2021-09-09,54,62,45,0.66
USW001,Sitka,2021-09-10,55,63,47,1.71
USW001,Sitka,2021-09-11,49,53,45,0.0
USW001,Sitka,2021-09-12,57,62,52,0.79
USW001,Sitka,2021-09-13,52,62,43,1.58
USW001,Sitka,2021-09-14,60,69,52,0.0
USW001,Sitka,2021-09-15,49,60,38,0.0
USW001,Sitka,2021-09-16,53,63,43,0.0
USW001,Sitka,2021-09-17,56,67,46,0.54
USW001,Sitka,2021-09-18,51,60,42,0.0
USW001,Sitka,2021-09-19,54,64,45,0.01
USW001,Sitka,2021-09-20,54,66,43,0.0
USW001,Sitka,2021-09-21,54,62,47,0.0
USW001,Sitka,2021-09-22,55,65,45,0.07
USW001,Sitka,2021-09-23,55,65,45,0.05
USW001,Sitka,2021-09-24,54,64,45,0.53
USW001,Sitka,2021-09-25,50,62,39,0.65
USW001,Sitka,2021-09-26,56,64,49,0.32
USW001,Sitka,2021-09-27,52,54,50,0.22
USW001,Sitka,2021-09-28,51,53,49,0.0
USW001,Sitka,2021-09-29,58,67,49,1.83
USW001,Sitka,2021-09-30,54,59,48,0.06
USW001,Sitka,2021-10-01,46,56,36,0.6
USW001,Sitka,2021-10-02,46,52,39,0.16
USW001,Sitka,2021-10-03,50,57,42,0.84
USW001,Sitka,2021-10-04,48,54,41,0.0
USW001,Sitka,2021-10-05,46,52,40,0.0
USW001,Sitka,2021-10-06,50,61,39,0.08
USW001,Sitka,2021-10-07,47,53,41,0.02
USW001,Sitka,2021-10-08,50,60,39,0.23
USW001,Sitka,2021-10-09,47,54,40,0.43
USW001,Sitka,2021-10-10,44,53,36,0.42
USW001,Sitka,2021-10-11,49,57,41,0.0
USW001,Sitka,2021-10-12,50,60,40,0.0
USW001,Sitka,2021-10-13,44,49,39,0.0
USW001,Sitka,2021-10-14,48,57,40,0.67
USW001,Sitka,2021-10-15,42,44,39,0.05
USW001,Sitka,2021-10-16,45,52,38,0.58
USW001,Sitka,2021-10-17,44,50,38,0.0
USW001,Sitka,2021-10-18,44,49,38,0.06
USW001,Sitka,2021-10-19,42,51,33,0.85
USW001,Sitka,2021-10-20,44,52,37,0.15
USW001,Sitka,2021-10-21,46,51,42,0.06
USW001,Sitka,2021-10-22,44,48,41,0.1
USW001,Sitka,2021-10-23,46,54,38,0.0
USW001,Sitka,2021-10-24,48,55,40,0.97
USW001,Sitka,2021-10-25,43,48,38,0.23
USW001,Sitka,2021-10-26,48,56,41,0.8
USW001,Sitka,2021-10-27,46,57,35,0.0
USW001,Sitka,2021-10-28,44,50,37,0.14
USW001,Sitka,2021-10-29,44,51,37,1.08
USW001,Sitka,2021-10-30,46,48,43,0.95
USW001,Sitka,2021-10-31,46,59,32,0.0
USW001,Sitka,2021-11-01,35,40,30,1.38
USW001,Sitka,2021-11-02,38,46,31,0.63
USW001,Sitka,2021-11-03,40,43,36,1.06
USW001,Sitka,2021-11-04,36,40,32,0.52
USW001,Sitka,2021-11-05,42,51,34,0.28
USW001,Sitka,2021-11-06,38,42,35,0.78
USW001,Sitka,2021-11-07,37,42,32,0.09
USW001,Sitka,2021-11-08,35,40,30,0.56
USW001,Sitka,2021-11-09,36,40,33,0.73
USW001,Sitka,2021-11-10,41,47,35,0.59
USW001,Sitka,2021-11-11,36,38,33,0.26
USW001,Sitka,2021-11-12,38,44,33,0.12
USW001,Sitka,2021-11-13,40,46,35,0.0
USW001,Sitka,2021-11-14,38,44,31,0.63
USW001,Sitka,2021-11-15,34,36,33,0.0
USW001,Sitka,2021-11-16,44,51,36,0.01
USW001,Sitka,2021-11-17,40,51,30,0.44
USW001,Sitka,2021-11-18,36,43,30,0.01
USW001,Sitka,2021-11-19,40,41,38,0.93
USW001,Sitka,2021-11-20,39,46,32,0.0
USW001,Sitka,2021-11-21,40,44,37,0.26
USW001,Sitka,2021-11-22,40,43,36,0.1
USW001,Sitka,2021-11-23,38,42,33,1.23
USW001,Sitka,2021-11-24,38,40,37,0.0
USW001,Sitka,2021-11-25,38,45,31,0.11
USW001,Sitka,2021-11-26,34,39,30,0.1
USW001,Sitka,2021-11-27,38,45,30,0.74
USW001,Sitka,2021-11-28,36,37,35,0.52
USW001,Sitka,2021-11-29,34,38,29,0.09
USW001,Sitka,2021-11-30,41,48,34,0.17
USW001,Sitka,2021-12-01,51,61,41,0.29
USW001,Sitka,2021-12-02,53,64,42,0.96
USW001,Sitka,2021-12-03,48,60,37,0.3
USW001,Sitka,2021-12-04,44,50,38,0.0
USW001,Sitka,2021-12-05,46,50,42,0.19
USW001,Sitka,2021-12-06,48,55,40,0.05
USW001,Sitka,2021-12-07,49,60,38,0.34
USW001,Sitka,2021-12-08,50,58,42,0.28
USW001,Sitka,2021-12-09,48,55,40,0.16
USW001,Sitka,2021-12-10,48,54,41,0.75
USW001,Sitka,2021-12-11,48,56,39,0.54
USW001,Sitka,2021-12-12,50,56,45,1.14
USW001,Sitka,2021-12-13,49,60,38,0.07
USW001,Sitka,2021-12-14,48,51,46,0.24
USW001,Sitka,2021-12-15,42,49,36,0.23
USW001,Sitka,2021-12-16,47,59,35,0.85
USW001,Sitka,2021-12-17,46,57,35,0.5
USW001,Sitka,2021-12-18,48,54,41,0.1
USW001,Sitka,2021-12-19,53,59,47,0.12
USW001,Sitka,2021-12-20,50,58,41,0.0
USW001,Sitka,2021-12-21,53,63,43,0.0
USW001,Sitka,2021-12-22,48,58,39,0.7
USW001,Sitka,2021-12-23,51,60,42,0.85
USW001,Sitka,2021-12-24,46,58,35,0.28
USW001,Sitka,2021-12-25,47,52,42,0.28
USW001,Sitka,2021-12-26,50,56,45,0.37
USW001,Sitka,2021-12-27,50,54,45,0.87
USW001,Sitka,2021-12-28,48,50,45,0.0
USW001,Sitka,2021-12-29,48,54,41,0.36
USW001,Sitka,2021-12-30,52,64,39,0.0
USW001,Sitka,2021-12-31,50,59,42,0.99
