STATION,NAME,DATE,TAVG,TMAX,PRCP
USW002,Death Valley,2021-11-05,66,87,44
USW002,Death Valley,2021-11-06,60,73,48
USW002,Death Valley,2021-11-07,60,72,49
USW002,Death Valley,2021-11-08,64,83,46
USW002,Death Valley,2021-11-09,61,77,45
USW002,Death Valley,2021-11-10,64,76,51
USW002,Death Valley,2021-11-11,62,80,44
USW002,Death Valley,2021-11-12,66,82,50
USW002,Death Valley,2021-11-13,62,78,45
USW002,Death Valley,2021-11-14,60,76,45
USW002,Death Valley,2021-11-15,62,78,46
USW002,Death Valley,2021-11-16,58,67,50
USW002,Death Valley,2021-11-17,64,77,50
USW002,Death Valley,2021-11-18,62,75,48
USW002,Death Valley,2021-11-19,64,80,48
USW002,Death Valley,2021-11-20,67,77,57
USW002,Death Valley,2021-11-21,62,75,48
USW002,Death Valley,2021-11-22,64,83,45
USW002,Death Valley,2021-11-23,58,72,43
USW002,Death Valley,2021-11-24,64,78,49
USW002,Death Valley,2021-11-25,61,79,43
USW002,Death Valley,2021-11-26,66,80,51
USW002,Death Valley,2021-11-27,62,76,47
USW002,Death Valley,2021-11-28,64,79,48
USW002,Death Valley,2021-11-29,62,79,44
USW002,Death Valley,2021-11-30,59,75,43
USW002,Death Valley,2021-12-01,55,69,41
USW002,Death Valley,2021-12-02,53,66,40
USW002,Death Valley,2021-12-03,51,60,42
USW002,Death Valley,2021-12-04,52,64,39
USW002,Death Valley,2021-12-05,54,70,37
USW002,Death Valley,2021-12-06,55,71,39
USW002,Death Valley,2021-12-07,54,66,41
USW002,Death Valley,2021-12-08,51,61,41
USW002,Death Valley,2021-12-09,54,66,42
USW002,Death Valley,2021-12-10,52,65,38
USW002,Death Valley,2021-12-11,53,67,39
USW002,Death Valley,2021-12-12,50,61,38
USW002,Death Valley,2021-12-13,55,71,39
USW002,Death Valley,2021-12-14,52,63,41
USW002,Death Valley,2021-12-15,46,59,33
USW002,Death Valley,2021-12-16,53,66,40
USW002,Death Valley,2021-12-17,52,67,36
USW002,Death Valley,2021-12-18,50,65,35
USW002,Death Valley,2021-12-19,50,67,34
USW002,Death Valley,2021-12-20,52,65,40
USW002,Death Valley,2021-12-21,48,59,37
USW002,Death Valley,2021-12-22,56,69,44
USW002,Death Valley,2021-12-23,50,60,40
USW002,Death Valley,2021-12-24,48,61,35
USW002,Death Valley,2021-12-25,56,72,41
USW002,Death Valley,2021-12-26,52,63,40
USW002,Death Valley,2021-12-27,54,69,40
USW002,Death Valley,2021-12-28,58,75,41
USW002,Death Valley,2021-12-29,46,54,38
USW002,Death Valley,2021-12-30,50,63,38
USW002,Death Valley,2021-12-31,52,66,37
