STATION,NAME,DATE,TAVG,TMAX,TMIN,PRCP
USW003,San Francisco,2021-02-07,54,59,50,0.0
USW003,San Francisco,2021-02-08,52,56,49,0.02
USW003,San Francisco,2021-02-09,51,53,49,0.0
USW003,San Francisco,2021-02-10,54,59,49,0.07
USW003,San Francisco,2021-02-11,53,60,46,0.11
USW003,San Francisco,2021-02-12,52,57,48,0.0
USW003,San Francisco,2021-02-13,57,69,45,1.3
USW003,San Francisco,2021-02-14,59,65,53,0.12
USW003,San Francisco,2021-02-15,54,57,51,0.09
USW003,San Francisco,2021-02-16,56,63,49,0.0
USW003,San Francisco,2021-02-17,52,59,45,0.0
USW003,San Francisco,2021-02-18,53,60,46,0.0
USW003,San Francisco,2021-02-19,58,70,47,0.16
USW003,San Francisco,2021-02-20,52,52,52,0.04
USW003,San Francisco,2021-02-21,57,69,45,0.02
USW003,San Francisco,2021-02-22,54,62,45,0.16
USW003,San Francisco,2021-02-23,52,57,47,0.23
USW003,San Francisco,2021-02-24,54,60,47,0.25
USW003,San Francisco,2021-02-25,53,57,49,0.0
USW003,San Francisco,2021-02-26,56,62,49,0.0
USW003,San Francisco,2021-02-27,54,63,44,0.03
USW003,San Francisco,2021-02-28,52,63,41,0.0
USW003,San Francisco,2021-03-01,53,57,49,0.17
USW003,San Francisco,2021-03-02,57,64,50,0.0
USW003,San Francisco,2021-03-03,58,63,53,0.0
USW003,San Francisco,2021-03-04,56,64,49,0.0
USW003,San Francisco,2021-03-05,58,67,48,0.0
USW003,San Francisco,2021-03-06,56,62,50,0.22
USW003,San Francisco,2021-03-07,52,56,48,0.01
USW003,San Francisco,2021-03-08,56,68,44,0.0
USW003,San Francisco,2021-03-09,55,60,50,0.37
USW003,San Francisco,2021-03-10,58,64,51,0.02
USW003,San Francisco,2021-03-11,52,60,43,0.0
USW003,San Francisco,2021-03-12,57,60,54,0.0
USW003,San Francisco,2021-03-13,51,59,43,0.21
USW003,San Francisco,2021-03-14,54,57,51,0.0
USW003,San Francisco,2021-03-15,54,54,54,0.33
USW003,San Francisco,2021-03-16,57,64,50,0.25
USW003,San Francisco,2021-03-17,54,58,50,0.06
USW003,San Francisco,2021-03-18,58,69,48,0.0
USW003,San Francisco,2021-03-19,58,68,49,0.0
USW003,San Francisco,2021-03-20,61,70,52,0.02
USW003,San Francisco,2021-03-21,61,71,51,0.15
USW003,San Francisco,2021-03-22,52,58,47,0.0
USW003,San Francisco,2021-03-23,55,61,49,0.0
USW003,San Francisco,2021-03-24,54,61,48,0.17
USW003,San Francisco,2021-03-25,55,59,51,0.0
USW003,San Francisco,2021-03-26,54,61,48,0.0
USW003,San Francisco,2021-03-27,58,66,51,0.0
USW003,San Francisco,2021-03-28,60,68,52,0.13
USW003,San Francisco,2021-03-29,54,59,49,0.0
USW003,San Francisco,2021-03-30,52,57,46,0.1
USW003,San Francisco,2021-03-31,54,63,46,0.01
USW003,San Francisco,2021-04-01,53,58,48,0.0
USW003,San Francisco,2021-04-02,60,70,49,0.0
USW003,San Francisco,2021-04-03,58,64,52,0.0
USW003,San Francisco,2021-04-04,56,63,50,0.0
USW003,San Francisco,2021-04-05,56,61,51,0.0
USW003,San Francisco,2021-04-06,57,64,50,0.0
USW003,San Francisco,2021-04-07,60,69,50,0.19
USW003,San Francisco,2021-04-08,58,64,52,0.0
USW003,San Francisco,2021-04-09,63,69,57,0.0
USW003,San Francisco,2021-04-10,54,61,48,0.0
USW003,San Francisco,2021-04-11,54,56,51,0.03
USW003,San Francisco,2021-04-12,53,59,47,0.0
USW003,San Francisco,2021-04-13,58,62,53,0.04
USW003,San Francisco,2021-04-14,58,66,51,0.12
USW003,San Francisco,2021-04-15,56,64,48,0.0
USW003,San Francisco,2021-04-16,60,67,54,0.0
USW003,San Francisco,2021-04-17,56,59,54,0.0
USW003,San Francisco,2021-04-18,55,59,51,0.0
USW003,San Francisco,2021-04-19,58,70,47,0.0
USW003,San Francisco,2021-04-20,58,67,50,0.06
USW003,San Francisco,2021-04-21,59,68,50,0.06
USW003,San Francisco,2021-04-22,57,60,54,0.05
USW003,San Francisco,2021-04-23,56,63,50,0.0
USW003,San Francisco,2021-04-24,57,62,52,0.04
USW003,San Francisco,2021-04-25,58,64,51,0.01
USW003,San Francisco,2021-04-26,54,57,51,0.0
USW003,San Francisco,2021-04-27,56,61,52,0.0
USW003,San Francisco,2021-04-28,54,58,50,0.02
USW003,San Francisco,2021-04-29,58,68,49,0.0
USW003,San Francisco,2021-04-30,56,63,49,0.0
USW003,San Francisco,2021-05-01,61,66,56,0.0
USW003,San Francisco,2021-05-02,57,57,57,0.0
USW003,San Francisco,2021-05-03,59,61,57,0.0
USW003,San Francisco,2021-05-04,62,69,56,0.0
USW003,San Francisco,2021-05-05,61,64,58,0.0
USW003,San Francisco,2021-05-06,60,65,54,0.0
USW003,San Francisco,2021-05-07,58,62,54,0.0
USW003,San Francisco,2021-05-08,56,64,49,0.0
USW003,San Francisco,2021-05-09,58,60,55,0.0
USW003,San Francisco,2021-05-10,58,65,52,0.0
USW003,San Francisco,2021-05-11,61,66,56,0.11
USW003,San Francisco,2021-05-12,58,60,56,0.0
USW003,San Francisco,2021-05-13,60,65,54,0.0
USW003,San Francisco,2021-05-14,57,64,50,0.0
USW003,San Francisco,2021-05-15,62,65,60,0.06
USW003,San Francisco,2021-05-16,60,67,53,0.0
USW003,San Francisco,2021-05-17,58,63,53,0.0
USW003,San Francisco,2021-05-18,58,64,51,0.0
USW003,San Francisco,2021-05-19,55,61,49,0.0
USW003,San Francisco,2021-05-20,60,69,51,0.0
USW003,San Francisco,2021-05-21,62,68,56,0.0
USW003,San Francisco,2021-05-22,62,69,55,0.0
USW003,San Francisco,2021-05-23,58,64,51,0.01
USW003,San Francisco,2021-05-24,60,65,55,0.04
USW003,San Francisco,2021-05-25,56,64,49,0.1
USW003,San Francisco,2021-05-26,58,64,53,0.0
USW003,San Francisco,2021-05-27,58,62,53,0.0
USW003,San Francisco,2021-05-28,60,67,54,0.0
USW003,San Francisco,2021-05-29,63,71,55,0.0
USW003,San Francisco,2021-05-30,64,67,62,0.07
USW003,San Francisco,2021-05-31,57,60,54,0.0
USW003,San Francisco,2021-06-01,66,75,58,0.0
USW003,San Francisco,2021-06-02,60,68,52,0.0
USW003,San Francisco,2021-06-03,62,66,58,0.0
USW003,San Francisco,2021-06-04,64,71,56,0.0
USW003,San Francisco,2021-06-05,62,70,55,0.0
USW003,San Francisco,2021-06-06,60,68,52,0.0
USW003,San Francisco,2021-06-07,62,72,52,0.0
USW003,San Francisco,2021-06-08,63,74,52,0.0
USW003,San Francisco,2021-06-09,62,68,55,0.0
USW003,San Francisco,2021-06-10,61,68,54,0.0
USW003,San Francisco,2021-06-11,60,69,52,0.0
USW003,San Francisco,2021-06-12,61,65,57,0.0
USW003,San Francisco,2021-06-13,64,71,58,0.0
USW003,San Francisco,2021-06-14,63,77,49,0.0
USW003,San Francisco,2021-06-15,60,66,54,0.01
USW003,San Francisco,2021-06-16,61,64,58,0.0
USW003,San Francisco,2021-06-17,61,69,53,0.0
USW003,San Francisco,2021-06-18,60,68,53,0.0
USW003,San Francisco,2021-06-19,58,63,54,0.0
USW003,San Francisco,2021-06-20,62,72,53,0.0
USW003,San Francisco,2021-06-21,63,71,55,0.0
USW003,San Francisco,2021-06-22,64,76,53,0.0
USW003,San Francisco,2021-06-23,64,69,60,0.0
USW003,San Francisco,2021-06-24,60,70,49,0.0
USW003,San Francisco,2021-06-25,61,67,55,0.0
USW003,San Francisco,2021-06-26,63,68,58,0.0
USW003,San Francisco,2021-06-27,68,74,61,0.0
USW003,San Francisco,2021-06-28,63,68,58,0.0
USW003,San Francisco,2021-06-29,61,66,56,0.0
USW003,San Francisco,2021-06-30,63,73,53,0.0
USW003,San Francisco,2021-07-01,64,70,58,0.0
USW003,San Francisco,2021-07-02,61,70,52,0.0
USW003,San Francisco,2021-07-03,66,76,56,0.0
USW003,San Francisco,2021-07-04,57,58,56,0.0
USW003,San Francisco,2021-07-05,66,71,61,0.0
USW003,San Francisco,2021-07-06,64,68,60,0.0
USW003,San Francisco,2021-07-07,70,77,63,0.0
USW003,San Francisco,2021-07-08,65,71,59,0.0
USW003,San Francisco,2021-07-09,58,67,50,0.0
USW003,San Francisco,2021-07-10,64,76,53,0.0
USW003,San Francisco,2021-07-11,63,67,59,0.0
USW003,San Francisco,2021-07-12,64,70,57,0.0
USW003,San Francisco,2021-07-13,63,69,57,0.0
USW003,San Francisco,2021-07-14,64,66,62,0.0
USW003,San Francisco,2021-07-15,64,65,62,0.0
USW003,San Francisco,2021-07-16,67,72,62,0.0
USW003,San Francisco,2021-07-17,66,73,58,0.0
USW003,San Francisco,2021-07-18,68,76,60,0.0
USW003,San Francisco,2021-07-19,62,68,57,0.0
USW003,San Francisco,2021-07-20,65,70,60,0.0
USW003,San Francisco,2021-07-21,66,75,56,0.0
USW003,San Francisco,2021-07-22,66,75,58,0.0
USW003,San Francisco,2021-07-23,70,80,59,0.0
USW003,San Francisco,2021-07-24,70,78,62,0.0
USW003,San Francisco,2021-07-25,63,67,59,0.0
USW003,San Francisco,2021-07-26,63,68,58,0.0
USW003,San Francisco,2021-07-27,70,79,60,0.0
USW003,San Francisco,2021-07-28,64,66,61,0.0
USW003,San Francisco,2021-07-29,64,71,56,0.0
USW003,San Francisco,2021-07-30,65,68,62,0.0
USW003,San Francisco,2021-07-31,65,73,57,0.0
USW003,San Francisco,2021-08-01,62,69,55,0.0
USW003,San Francisco,2021-08-02,61,68,54,0.0
USW003,San Francisco,2021-08-03,61,66,56,0.0
USW003,San Francisco,2021-08-04,62,69,56,0.0
USW003,San Francisco,2021-08-05,64,70,59,0.0
USW003,San Francisco,2021-08-06,66,74,57,0.0
USW003,San Francisco,2021-08-07,66,73,60,0.0
USW003,San Francisco,2021-08-08,62,68,55,0.0
USW003,San Francisco,2021-08-09,69,74,64,0.0
USW003,San Francisco,2021-08-10,64,70,57,0.0
USW003,San Francisco,2021-08-11,64,67,62,0.0
USW003,San Francisco,2021-08-12,63,72,54,0.0
USW003,San Francisco,2021-08-13,68,76,60,0.0
USW003,San Francisco,2021-08-14,64,74,55,0.0
USW003,San Francisco,2021-08-15,66,72,61,0.0
USW003,San Francisco,2021-08-16,62,64,59,0.0
USW003,San Francisco,2021-08-17,66,70,63,0.0
USW003,San Francisco,2021-08-18,68,77,59,0.0
USW003,San Francisco,2021-08-19,67,76,58,0.0
USW003,San Francisco,2021-08-20,65,70,60,0.0
USW003,San Francisco,2021-08-21,64,73,56,0.0
USW003,San Francisco,2021-08-22,66,75,57,0.0
USW003,San Francisco,2021-08-23,58,61,56,0.0
USW003,San Francisco,2021-08-24,68,75,62,0.0
USW003,San Francisco,2021-08-25,63,69,57,0.0
USW003,San Francisco,2021-08-26,66,72,60,0.0
USW003,San Francisco,2021-08-27,68,78,59,0.0
USW003,San Francisco,2021-08-28,67,75,59,0.0
USW003,San Francisco,2021-08-29,70,80,59,0.0
USW003,San Francisco,2021-08-30,68,74,62,0.0
USW003,San Francisco,2021-08-31,68,79,58,0.0
USW003,San Francisco,2021-09-01,68,78,59,0.0
USW003,San Francisco,2021-09-02,66,74,58,0.0
USW003,San Francisco,2021-09-03,63,69,57,0.02
USW003,San Francisco,2021-09-04,64,77,50,0.0
USW003,San Francisco,2021-09-05,67,77,57,0.0
USW003,San Francisco,2021-09-06,62,65,58,0.0
USW003,San Francisco,2021-09-07,66,75,58,0.0
USW003,San Francisco,2021-09-08,66,71,61,0.0
USW003,San Francisco,2021-09-09,65,74,56,0.0
USW003,San Francisco,2021-09-10,68,77,58,0.0
USW003,San Francisco,2021-09-11,63,68,58,0.0
USW003,San Francisco,2021-09-12,65,70,60,0.0
USW003,San Francisco,2021-09-13,67,76,58,0.0
USW003,San Francisco,2021-09-14,70,81,58,0.0
USW003,San Francisco,2021-09-15,64,75,53,0.0
USW003,San Francisco,2021-09-16,65,71,59,0.0
USW003,San Francisco,2021-09-17,64,77,51,0.0
USW003,San Francisco,2021-09-18,67,79,55,0.0
USW003,San Francisco,2021-09-19,66,78,55,0.0
USW003,San Francisco,2021-09-20,66,76,57,0.0
USW003,San Francisco,2021-09-21,60,69,50,0.0
USW003,San Francisco,2021-09-22,67,70,64,0.0
USW003,San Francisco,2021-09-23,68,76,59,0.0
USW003,San Francisco,2021-09-24,68,73,63,0.0
USW003,San Francisco,2021-09-25,66,74,58,0.0
USW003,San Francisco,2021-09-26,70,81,58,0.0
USW003,San Francisco,2021-09-27,69,78,60,0.0
USW003,San Francisco,2021-09-28,66,72,59,0.0
USW003,San Francisco,2021-09-29,65,75,55,0.0
USW003,San Francisco,2021-09-30,63,70,56,0.0
USW003,San Francisco,2021-10-01,66,77,55,0.0
USW003,San Francisco,2021-10-02,60,64,57,0.0
USW003,San Francisco,2021-10-03,62,71,54,0.01
USW003,San Francisco,2021-10-04,64,70,59,0.04
USW003,San Francisco,2021-10-05,60,70,51,0.0
USW003,San Francisco,2021-10-06,63,71,55,0.2
USW003,San Francisco,2021-10-07,60,69,51,0.0
USW003,San Francisco,2021-10-08,62,69,54,0.0
USW003,San Francisco,2021-10-09,60,71,50,0.0
USW003,San Francisco,2021-10-10,64,72,55,0.0
USW003,San Francisco,2021-10-11,61,68,54,0.0
USW003,San Francisco,2021-10-12,62,68,56,0.06
USW003,San Francisco,2021-10-13,63,74,52,0.0
USW003,San Francisco,2021-10-14,64,73,54,0.07
USW003,San Francisco,2021-10-15,61,72,50,0.12
USW003,San Francisco,2021-10-16,58,63,54,0.0
USW003,San Francisco,2021-10-17,59,66,52,0.0
USW003,San Francisco,2021-10-18,64,74,55,0.0
USW003,San Francisco,2021-10-19,64,71,56,0.06
USW003,San Francisco,2021-10-20,64,68,59,0.16
USW003,San Francisco,2021-10-21,62,73,51,0.0
USW003,San Francisco,2021-10-22,60,65,56,0.0
USW003,San Francisco,2021-10-23,56,62,50,0.0
USW003,San Francisco,2021-10-24,62,68,55,0.0
USW003,San Francisco,2021-10-25,64,71,58,0.0
USW003,San Francisco,2021-10-26,61,71,51,0.0
USW003,San Francisco,2021-10-27,64,72,56,0.0
USW003,San Francisco,2021-10-28,58,67,50,0.0
USW003,San Francisco,2021-10-29,60,66,55,0.0
USW003,San Francisco,2021-10-30,60,69,50,0.0
USW003,San Francisco,2021-10-31,60,63,57,0.03
USW003,San Francisco,2021-11-01,58,69,47,0.0
USW003,San Francisco,2021-11-02,60,66,53,0.0
USW003,San Francisco,2021-11-03,58,65,52,0.0
USW003,San Francisco,2021-11-04,53,57,49,0.0
USW003,San Francisco,2021-11-05,56,61,51,0.0
USW003,San Francisco,2021-11-06,58,66,50,0.01
USW003,San Francisco,2021-11-07,58,64,51,0.0
USW003,San Francisco,2021-11-08,53,55,51,0.0
USW003,San Francisco,2021-11-09,60,66,53,0.0
USW003,San Francisco,2021-11-10,58,69,48,0.0
USW003,San Francisco,2021-11-11,54,58,50,0.21
USW003,San Francisco,2021-11-12,59,67,51,0.25
USW003,San Francisco,2021-11-13,50,56,45,0.0
USW003,San Francisco,2021-11-14,60,70,51,0.0
USW003,San Francisco,2021-11-15,52,53,52,0.04
USW003,San Francisco,2021-11-16,50,56,45,0.0
USW003,San Francisco,2021-11-17,60,69,51,0.0
USW003,San Francisco,2021-11-18,58,60,56,0.09
USW003,San Francisco,2021-11-19,56,66,47,0.01
USW003,San Francisco,2021-11-20,57,64,50,0.0
USW003,San Francisco,2021-11-21,58,62,55,0.0
USW003,San Francisco,2021-11-22,54,60,48,0.27
USW003,San Francisco,2021-11-23,56,62,49,0.01
USW003,San Francisco,2021-11-24,58,59,56,0.0
USW003,San Francisco,2021-11-25,57,62,52,0.01
USW003,San Francisco,2021-11-26,59,65,53,0.0
USW003,San Francisco,2021-11-27,60,70,50,0.0
USW003,San Francisco,2021-11-28,58,63,52,0.0
USW003,San Francisco,2021-11-29,54,61,46,0.55
USW003,San Francisco,2021-11-30,59,66,52,0.0
USW003,San Francisco,2021-12-01,52,62,43,0.0
USW003,San Francisco,2021-12-02,53,60,46,0.3
USW003,San Francisco,2021-12-03,48,53,42,0.0
USW003,San Francisco,2021-12-04,50,52,47,0.0
USW003,San Francisco,2021-12-05,52,58,47,0.0
USW003,San Francisco,2021-12-06,48,53,42,0.28
USW003,San Francisco,2021-12-07,51,54,48,0.51
USW003,San Francisco,2021-12-08,52,58,45,0.0
USW003,San Francisco,2021-12-09,52,57,47,0.0
USW003,San Francisco,2021-12-10,52,61,44,0.09
USW003,San Francisco,2021-12-11,55,62,48,0.0
USW003,San Francisco,2021-12-12,50,55,46,0.0
USW003,San Francisco,2021-12-13,48,50,46,0.0
USW003,San Francisco,2021-12-14,49,55,43,0.02
USW003,San Francisco,2021-12-15,49,55,43,0.0
USW003,San Francisco,2021-12-16,50,54,47,0.0
USW003,San Francisco,2021-12-17,51,57,45,0.0
USW003,San Francisco,2021-12-18,58,68,48,0.31
USW003,San Francisco,2021-12-19,51,53,49,0.0
USW003,San Francisco,2021-12-20,54,61,46,0.0
USW003,San Francisco,2021-12-21,48,54,42,0.0
USW003,San Francisco,2021-12-22,50,55,45,0.0
USW003,San Francisco,2021-12-23,48,53,43,0.02
USW003,San Francisco,2021-12-24,51,60,42,0.16
USW003,San Francisco,2021-12-25,47,57,37,0.47
USW003,San Francisco,2021-12-26,54,61,46,0.0
USW003,San Francisco,2021-12-27,48,50,45,0.0
USW003,San Francisco,2021-12-28,51,58,44,0.01
USW003,San Francisco,2021-12-29,49,49,49,0.0
USW003,San Francisco,2021-12-30,47,52,42,0.0
USW003,San Francisco,2021-12-31,54,59,49,0.15
